seed,generation,fitness
2,166,26251.06013569867
2,167,26251.06013569867
2,168,26251.06013569867
2,169,26251.06013569867
2,170,26251.06013569867
2,171,26251.06013569867
2,172,26251.06013569867
2,173,26251.06013569867
2,174,26251.06013569867
2,175,26251.06013569867
2,176,26251.06013569867
2,177,26251.06013569867
2,178,26251.06013569867
2,179,26251.06013569867
2,180,26251.06013569867
2,181,26251.06013569867
2,182,26251.06013569867
2,183,26251.06013569867
2,184,26251.06013569867
2,185,26218.240361340126
2,186,26218.240361340126
2,187,26218.240361340126
2,188,26218.240361340126
2,189,26218.240361340126
2,190,26218.240361340126
2,191,26218.240361340126
2,192,26218.240361340126
2,193,26218.240361340126
2,194,26218.240361340126
2,195,26218.240361340126
2,196,26218.240361340126
2,197,26177.507259267466
2,198,26177.507259267466
2,199,26177.507259267466
2,200,26177.507259267466
3,1,27971.73858646309
3,2,26552.06694466517
3,3,26552.06694466517
3,4,26552.06694466517
3,5,26552.06694466517
3,6,26552.06694466517
3,7,26552.06694466517
3,8,26552.06694466517
3,9,26552.06694466517
3,10,26552.06694466517
3,11,26552.06694466517
3,12,26552.06694466517
3,13,26552.06694466517
3,14,26463.12477428123
3,15,26463.12477428123
3,16,26463.12477428123
3,17,26463.12477428123
3,18,26273.898028786545
3,19,26273.898028786545
3,20,26273.898028786545
3,21,26251.06013569867
3,22,26251.06013569867
3,23,26251.06013569867
3,24,26251.06013569867
3,25,26251.06013569867
3,26,26251.06013569867
3,27,26251.06013569867
3,28,26251.06013569867
3,29,26251.06013569867
3,30,26251.06013569867
3,31,26251.06013569867
3,32,26251.06013569867
3,33,26251.06013569867
3,34,26251.06013569867
3,35,26251.06013569867
3,36,26251.06013569867
3,37,26251.06013569867
3,38,26251.06013569867
3,39,26251.06013569867
3,40,26251.06013569867
3,41,26251.06013569867
3,42,26251.06013569867
3,43,26251.06013569867
3,44,26251.06013569867
3,45,26251.06013569867
3,46,26251.06013569867
3,47,26251.06013569867
3,48,26251.06013569867
3,49,26251.06013569867
3,50,26251.06013569867
3,51,26251.06013569867
